id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
,#country+name,#country+iso3,#geo+lat,#geo+lon,,,#event+displacement_type,#total,#affected+displaced,#date+displacement,#date+displacement+start,#date+displacement+end,#date+year,,#event+name,,,#date+event+start,#date+event+end,,,#event+type,#event+subtype,,,,,,,,,#date+created,#description,#meta+url,#cause
207619,Sudan,SDN,13.30913,25.517651,"[13.30913, 25.517651]",Triangulation,Conflict,approximately,100537,2025-11-17,2025-10-26,2025-11-17,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://mailchi.mp/iom/dtm-sudan-flash-alert-al-fasher-al-fasher-town-north-darfur-update-111?e=b699c75958,"Al Fasher, North Darfur State, Sudan","13.30913, 25.517651",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2025-11-17T14:30:01.819563Z,"Sudan: 100,537 displacements, 26 October - 17 November. Approximately 100537 people were displaced due to non-international armed conflict (niac) between 26 October and 17 November in Al Fasher, North Darfur State, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM).",https://mailchi.mp/iom/dtm-sudan-flash-alert-al-fasher-al-fasher-town-north-darfur-update-111?e=b699c75958,Conflict
208503,Sudan,SDN,14.41693,29.46837,"[14.41693, 29.46837]",Triangulation,Conflict,total,39725,2025-11-18,2025-10-25,2025-11-18,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/reports/focused-flash-alert-north-kordofan-update-1?close=true,"North Kordofan State, Sudan","14.41693, 29.46837",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-11-27T13:27:44.618033Z,"Sudan: 39,725 displacements, 25 October - 18 November. A total of 39725 people were displaced due to non-international armed conflict (niac) between 25 October and 18 November in North Kordofan State, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM).",https://dtm.iom.int/reports/focused-flash-alert-north-kordofan-update-1?close=true,Conflict
193884,Sudan,SDN,15.93796,33.13726,"[15.93796, 33.13726]",Recommended figure,Disaster,approximately,7068,2025-09-30,2025-09-30,2025-09-30,2025,33355,Sudan: Flood - Khartoum (Bahri) - 30/09/2025,,,2025-09-30,2025-09-30,Weather related,Hydrological,Flood,Flood,,IOM Displacement Tracking Matrix (IOM DTM),https://mailchi.mp/iom/dtm-sudan-flash-alert-flooding-in-bahri-locality-khartoum-update-001?e=b699c75958,"Khartoum State, Sudan","15.93796, 33.13726",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-10-06T08:55:05.807979Z,"Sudan: 7,068 displacements, 30 September - 30 September. Approximately 1200 households were displaced due to flood on 30 September in Khartoum State, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM).",https://mailchi.mp/iom/dtm-sudan-flash-alert-flooding-in-bahri-locality-khartoum-update-001?e=b699c75958,Flood
193826,Sudan,SDN,15.24439,32.509079,"[15.24439, 32.509079]",Recommended figure,Disaster,approximately,589,2025-09-30,2025-09-30,2025-09-30,2025,33333,Sudan: Flood - Khartoum (Jebel Awlia) - 30/09/2025,,,2025-09-30,2025-09-30,Weather related,Hydrological,Flood,Flood,,IOM Displacement Tracking Matrix (IOM DTM),https://mailchi.mp/iom/dtm-sudan-flash-alert-flooding-in-jebel-awlia-shegeilab-and-tayyibah-villages-khartoum-update-001?e=b699c75958,"Jebel Aulia, Khartoum State, Sudan","15.24439, 32.509079",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2025-10-02T12:44:01.371684Z,"Sudan: 589 displacements, 30 September - 30 September. Flood resulted in approximately 100 households being displaced in Jebel Aulia, Khartoum State, Sudan on 30 September, according to IOM Displacement Tracking Matrix (IOM DTM).",https://mailchi.mp/iom/dtm-sudan-flash-alert-flooding-in-jebel-awlia-shegeilab-and-tayyibah-villages-khartoum-update-001?e=b699c75958,Flood
192976,Sudan,SDN,14.10755,34.091808,"[14.10755, 34.091808]",Recommended figure,Disaster,approximately,295,2025-09-21,2025-09-21,2025-09-21,2025,33259,Sudan: Flood - Gedaref (Al Fao) - 21/09/2025,,,2025-09-21,2025-09-21,Weather related,Hydrological,Flood,Flood,,IOM Displacement Tracking Matrix (IOM DTM),https://mailchi.mp/iom/dtm-sudan-flash-alert-flooding-in-al-fao-mabrooka-village-gedaref-update-002?e=b699c75958,"Al Fao, Al Qadarif, Gedarif State, Sudan","14.10755, 34.091808",County/City/town/Village/Woreda (ADM3),Origin,,2025-09-23T09:49:40.063517Z,"Sudan: 295 displacements (destroyed housing), 21 September - 21 September. According to IOM Displacement Tracking Matrix (IOM DTM), approximately 50 households were displaced due to destroyed housing in Al Fao, Al Qadarif, Gedarif State, Sudan due to flood on 21 September",https://mailchi.mp/iom/dtm-sudan-flash-alert-flooding-in-al-fao-mabrooka-village-gedaref-update-002?e=b699c75958,Flood
192468,Sudan,SDN,14.66715,33.222359,"[14.66715, 33.222359]",Recommended figure,Disaster,approximately,4250,2025-09-12,2025-09-12,2025-09-12,2025,33157,Sudan: Flood - Al Jazirah (Um Algura) - 12/09/2025,,,2025-09-12,2025-09-12,Weather related,Hydrological,Flood,Flood,,IOM Displacement Tracking Matrix (IOM DTM),https://mailchi.mp/iom/dtm-sudan-flash-alert-flooding-in-um-algura-major-6-village-aj-jazirah-update-001?e=b699c75958,"Al Jazirah, Sudan","14.66715, 33.222359",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-09-15T08:50:17.131467Z,"Sudan: 4,250 displacements, 12 September - 12 September. Approximately 4250 people were displaced due to flood on 12 September in Um Algura, Al Jazirah, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM).",https://mailchi.mp/iom/dtm-sudan-flash-alert-flooding-in-um-algura-major-6-village-aj-jazirah-update-001?e=b699c75958,Flood
191550,Sudan,SDN,14.11326,34.088169,"[14.11326, 34.088169]",Recommended figure,Disaster,total,100,2025-09-06,2025-09-06,2025-09-06,2025,32876,Sudan: Flood - Gedaref (Al Fao) - 06/09/2025,,,2025-09-06,2025-09-06,Weather related,Hydrological,Flood,Flood,,IOM Displacement Tracking Matrix (IOM DTM),https://mailchi.mp/iom/dtm-sudan-flash-alert-flooding-in-al-fao-mabrooka-village-gedaref-update-001?e=b699c75958,"Al Fao, Al Qadarif, Gedarif State, Sudan","14.11326, 34.088169",County/City/town/Village/Woreda (ADM3),Origin,,2025-09-08T09:31:36.266513Z,"Sudan: 100 displacements (destroyed housing), 06 September - 06 September. A total of 17 households were displaced due to destroyed housing due to flood on 6 September in Al Fao, Al Qadarif, Gedarif State, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM).",https://mailchi.mp/iom/dtm-sudan-flash-alert-flooding-in-al-fao-mabrooka-village-gedaref-update-001?e=b699c75958,Flood
191552,Sudan,SDN,13.97584,35.085079,"[13.97584, 35.085079]",Recommended figure,Disaster,approximately,2945,2025-09-06,2025-09-06,2025-09-06,2025,32877,Sudan: Flood - Gedaref (Ar Rahad) - 06/09/2025,,,2025-09-06,2025-09-06,Weather related,Hydrological,Flood,Flood,,IOM Displacement Tracking Matrix (IOM DTM),https://mailchi.mp/iom/dtm-sudan-flash-alert-flooding-in-ar-rahad-wad-al-shaer-village-gedaref-update-003?e=b699c75958,"Al Qadarif State, Sudan","13.97584, 35.085079",State/Region/Province (ADM1),Origin,,2025-09-08T09:40:34.566391Z,"Sudan: 2,945 displacements (destroyed housing), 06 September - 06 September. Approximately 500 households were displaced due to destroyed housing due to flood on 6 September in Ar Rahad in Al Qadarif State, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM).",https://mailchi.mp/iom/dtm-sudan-flash-alert-flooding-in-ar-rahad-wad-al-shaer-village-gedaref-update-003?e=b699c75958,Flood
191549,Sudan,SDN,11.19385,24.39727,"[11.19385, 24.39727]",Recommended figure,Disaster,approximately,377,2025-09-04,2025-09-04,2025-09-04,2025,32875,Sudan: Flood - South Darfur (Kateila) - 04/09/2025,,,2025-09-04,2025-09-04,Weather related,Hydrological,Flood,Flood,,IOM Displacement Tracking Matrix (IOM DTM),https://mailchi.mp/iom/dtm-sudan-flash-alert-flooding-in-kateila-tartura-village-south-darfur?e=b699c75958,"Katayla, Id El Ghanem, South Darfur State, Sudan","11.19385, 24.39727",County/City/town/Village/Woreda (ADM3),Origin,,2025-09-08T09:16:46.827939Z,"Sudan: 377 displacements (destroyed housing), 04 September - 04 September. According to IOM Displacement Tracking Matrix (IOM DTM), approximately 64 households were displaced due to destroyed housing in Katayla, Id El Ghanem, South Darfur State, Sudan due to flood on 4 September",https://mailchi.mp/iom/dtm-sudan-flash-alert-flooding-in-kateila-tartura-village-south-darfur?e=b699c75958,Flood
